输入名称,代码,市场,真实简称,名称不一致,最新价,涨跌幅%,成交额亿元,换手率%,量比,PE,PB,总市值亿元,主力净流入万元,主力净占比%,行业,概念,风险标签,初筛分,研究优先级,数据源,量化总分,研究层级,动量分,流动性分,估值分,资金分,市值适配分,风险扣分,量化风险原因,数据完整性
中天科技,600522,SH,中天科技,否,50.53,3.97,102.39,6.1,1.12,46.92,4.54,1724.56,22906.95,2.24,通信设备,"新能源,创投,参股券商,新材料,参股银行,物联网,锂电池概念,智能电网,光伏概念,铁路基建,长江三角,风能,海工装备,石墨烯,3D打印,海洋经济,大数据,超导概念,充电桩,超级电容,量子科技,一带一路,5G概念,工业互联,OLED,华为概念,新能源车,半导体概念,特高压,数据中心,6G概念,固态电池,储能概念,东数西算,CPO概念,光通信模块,液冷概念,可控核聚变,铜缆高速连接,碳纤维,电网概念,电池技术,通信技术,光纤概念",,95,A-优先研究,东方财富push2实时行情接口,91.13,Q1-重点量化研究,100.0,78.1,91.3,92.0,88.8,0.0,,完整
大连电瓷,002606,SZ,大连电瓷,否,13.7,4.9,2.35,4.1,1.38,25.27,3.08,60.15,620.42,2.63,电网设备,"智能电网,特高压,虚拟电厂,电网概念",,80,A-优先研究,东方财富push2实时行情接口,89.71,Q1-重点量化研究,100.0,86.6,100.0,70.0,100.0,0.0,,完整
徐工机械,000425,SZ,徐工机械,否,9.2,0.88,7.44,0.88,0.74,13.1,1.72,1077.43,3256.89,4.38,工程机械,"军工,央国企改革,一带一路,人工智能,工业互联,乡村振兴,新能源车,工程机械概念,机器人概念,雅下水电概念",,66,B-观察研究,东方财富push2实时行情接口,88.95,Q1-重点量化研究,97.6,95.4,100.0,70.0,100.0,0.0,,完整
华天科技,002185,SZ,华天科技,否,16.97,5.67,33.65,6.08,1.6,162.46,3.16,563.98,18911.92,5.62,半导体,"物联网,西部大开发,5G概念,人工智能,华为概念,国产芯片,传感器,氮化镓,半导体概念,先进封装,CPO概念,存储芯片,华为海思,通信技术",,90,A-优先研究,东方财富push2实时行情接口,87.4,Q1-重点量化研究,100.0,100.0,38.0,92.0,100.0,0.0,,完整
海立股份,600619,SH,海立股份,否,15.09,1.28,2.28,1.93,1.74,55.91,2.62,161.97,797.71,3.5,家电零部件Ⅱ,"长江三角,上海自贸,央国企改革,小米概念,冷链物流,光刻机(胶),新能源车,汽车热管理,空气能热泵",,75,A-优先研究,东方财富push2实时行情接口,86.28,Q1-重点量化研究,100.0,85.1,84.7,70.0,100.0,0.0,,完整
春秋航空,601021,SH,春秋航空,否,48.68,6.87,8.69,1.83,4.71,12.11,2.55,476.25,-1450.32,-1.67,航空机场,"通用航空,免税概念,跨境电商,零售概念",,88,A-优先研究,东方财富push2实时行情接口,85.79,Q1-重点量化研究,100.0,100.0,100.0,35.0,100.0,2.1,量比过热,完整
长电科技,600584,SH,长电科技,否,73.47,6.6,89.34,6.98,1.69,113.23,4.57,1314.68,84719.84,9.48,半导体,"新材料,物联网,长江三角,智能穿戴,苹果概念,央国企改革,国产芯片,半导体概念,中芯概念,汽车芯片,生物识别,IGBT概念,先进封装,CPO概念,存储芯片,玻璃基板,华为海思,消费电子概念,通信技术",,90,A-优先研究,东方财富push2实时行情接口,85.16,Q1-重点量化研究,100.0,84.8,42.9,92.0,100.0,0.0,,完整
云南铜业,000878,SZ,云南铜业,否,17.68,2.37,11.82,3.32,2.54,15.87,2.4,428.77,-7101.82,-6.01,工业金属,"稀缺资源,参股期货,黄金概念,西部大开发,央国企改革",,86,A-优先研究,东方财富push2实时行情接口,84.92,Q1-重点量化研究,100.0,100.0,100.0,18.0,100.0,0.0,,完整
合力泰,002217,SZ,合力泰,否,2.37,2.6,4.31,2.49,1.43,5354.52,9.47,177.26,5504.75,12.78,光学光电子,"央国企改革,OLED,ETC,新能源车,MiniLED,电子纸概念,算力概念",,83,A-优先研究,东方财富push2实时行情接口,84.31,Q1-重点量化研究,100.0,100.0,24.8,92.0,100.0,0.0,,完整
豫能控股,001896,SZ,豫能控股,否,22.76,4.4,28.3,8.34,1.1,296.51,9.75,347.27,15237.82,5.38,电力,"新能源,创投,光伏概念,风能,地热能,电商概念,央国企改革,充电桩,华为概念,氢能源,碳交易,储能概念,抽水蓄能,绿色电力,超超临界发电",,79,A-优先研究,东方财富push2实时行情接口,83.32,Q1-重点量化研究,100.0,98.7,23.8,92.0,100.0,0.0,,完整
彤程新材,603650,SH,彤程新材,否,62.06,4.43,12.62,3.33,1.25,52.43,9.52,382.34,-2972.36,-2.36,橡胶,"新材料,稀土永磁,石墨烯,光刻机(胶),降解塑料,存储芯片",,84,A-优先研究,东方财富push2实时行情接口,83.19,Q1-重点量化研究,100.0,100.0,73.9,35.0,100.0,0.0,,完整
通鼎互联,002491,SZ,通鼎互联,否,23.63,3.96,29.22,10.56,1.42,141.71,11.53,290.65,16841.15,5.76,通信设备,"大数据,网络安全,5G概念,北交所概念,光通信模块,通信技术,光纤概念",,76,A-优先研究,东方财富push2实时行情接口,80.13,Q1-重点量化研究,100.0,90.3,17.0,92.0,100.0,0.0,,完整
江海股份,002484,SZ,江海股份,否,87.24,7.37,28.16,3.99,1.15,114.5,11.95,742.0,10148.86,3.6,元件,"军工,石墨烯,央国企改革,超级电容,5G概念,华为概念,ETC,新能源车,被动元件概念,通信技术",,76,A-优先研究,东方财富push2实时行情接口,79.93,Q1-重点量化研究,89.4,100.0,19.4,92.0,100.0,0.0,,完整
网宿科技,300017,SZ,网宿科技,否,14.58,1.89,9.43,2.76,1.26,75.34,3.59,363.87,-8210.17,-8.71,IT服务Ⅱ,"互联网服务,云计算,长江三角,大数据,网络安全,在线教育,电商概念,一带一路,人工智能,华为概念,超清视频,边缘计算,IPv6,数据中心,网红经济,元宇宙概念,虚拟数字人,AIGC概念,算力概念,液冷概念",,77,A-优先研究,东方财富push2实时行情接口,78.95,Q1-重点量化研究,100.0,100.0,70.6,18.0,100.0,0.0,,完整
科达制造,600499,SH,科达制造,否,15.6,-0.38,2.89,0.95,1.47,12.75,2.38,299.19,-2203.42,-7.62,专用设备,"煤化工概念,节能环保,锂电池概念,一带一路,机器人概念,电池技术",,58,C-低优先级,东方财富push2实时行情接口,76.26,Q2-观察研究,72.4,95.8,100.0,35.0,100.0,0.0,,完整
京东方A,000725,SZ,京东方Ａ,是,5.87,5.39,111.55,5.36,1.14,31.84,1.62,2174.5,-13791.6,-1.24,光学光电子,"物联网,LED概念,智慧城市,智能穿戴,苹果概念,央国企改革,虚拟现实,人工智能,新零售,小米概念,OLED,电子竞技,华为概念,超清视频,UWB概念,医美概念,国产芯片,MiniLED,屏下摄像,MicroLED,电子纸概念,钙钛矿电池,混合现实,裸眼3D,柔性屏(折叠屏),玻璃基板,荣耀概念,消费电子概念,显示技术,光纤概念",,86,A-优先研究,东方财富push2实时行情接口,76.22,Q2-观察研究,100.0,73.4,100.0,18.0,66.3,0.0,,完整
大金重工,002487,SZ,大金重工,否,58.86,-1.16,10.33,2.75,1.6,24.98,5.02,434.25,-280.47,-0.27,风电设备,"风能,水利建设,互联网金融,船舶制造,东北振兴",,78,A-优先研究,东方财富push2实时行情接口,76.15,Q2-观察研究,56.8,100.0,100.0,35.0,100.0,0.0,,完整
津药药业,600488,SH,津药药业,否,4.78,0.42,2.02,3.9,0.94,93.93,1.71,52.19,72.36,0.36,化学制药,"滨海新区,辅助生殖",,56,C-低优先级,东方财富push2实时行情接口,75.33,Q2-观察研究,88.4,79.7,57.0,70.0,100.0,0.0,,完整
高能环境,603588,SH,高能环境,否,13.86,-2.46,6.17,2.9,1.27,8.76,2.09,211.12,2330.47,3.78,环境治理,"节能环保,黄金概念,小金属概念,PPP模式,垃圾分类,医废处理,生物质能发电",,74,B-观察研究,东方财富push2实时行情接口,74.95,Q2-观察研究,30.8,100.0,100.0,70.0,100.0,0.0,,完整
连云港,601008,SH,连云港,否,4.61,3.13,0.75,1.28,3.29,46.39,1.38,57.19,-81.53,-1.09,航运港口,"长江三角,央国企改革,一带一路,中俄贸易概念",,71,B-观察研究,东方财富push2实时行情接口,74.91,Q2-观察研究,100.0,53.5,91.7,35.0,100.0,0.0,,完整
晶方科技,603005,SH,晶方科技,否,43.74,6.63,18.27,6.58,0.99,108.98,6.12,285.26,-10418.3,-5.7,半导体,"5G概念,增强现实,华为概念,光刻机(胶),国产芯片,3D摄像头,传感器,氮化镓,半导体概念,第三代半导体,汽车芯片,生物识别,先进封装,高带宽内存,玻璃基板,通信技术",,73,B-观察研究,东方财富push2实时行情接口,74.39,Q2-观察研究,100.0,100.0,45.6,18.0,100.0,0.0,,完整
北方稀土,600111,SH,北方稀土,否,49.54,0.22,41.19,2.29,1.78,48.79,7.13,1790.9,-42666.48,-10.36,小金属,"稀缺资源,新材料,锂电池概念,稀土永磁,西部大开发,央国企改革,小金属概念,电池技术",,64,B-观察研究,东方财富push2实时行情接口,74.35,Q2-观察研究,84.4,100.0,85.6,18.0,85.5,0.0,,完整
立昂微,605358,SH,立昂微,否,67.49,2.1,35.23,7.19,1.26,1729.48,4.87,499.79,-26012.26,-7.38,半导体,"物联网,智能电网,充电桩,5G概念,人工智能,国产芯片,新能源车,氮化镓,半导体概念,卫星互联网,中芯概念,第三代半导体,商业航天,汽车芯片,IGBT概念,电网概念,通信技术",,76,A-优先研究,东方财富push2实时行情接口,73.6,Q2-观察研究,100.0,100.0,38.0,18.0,100.0,0.0,,完整
云南锗业,002428,SZ,云南锗业,否,98.8,7.09,73.44,11.61,1.8,1771.37,43.92,645.28,52137.65,7.1,小金属,"稀缺资源,光伏概念,西部大开发,小金属概念,华为概念,半导体概念,第三代半导体,商业航天,光通信模块,通信技术,光纤概念",,68,B-观察研究,东方财富push2实时行情接口,73.49,Q2-观察研究,97.4,79.3,0.0,92.0,100.0,0.0,,完整
横店东磁,002056,SZ,横店东磁,否,25.22,2.44,0.0,2.58,1.13,23.06,3.72,410.26,0.0,0.0,,,,76,A-优先研究,东方财富push2实时行情接口,73.45,Q2-观察研究,100.0,64.0,100.0,50.0,100.0,8.0,行情字段不完整,不完整
华能国际,600011,SH,华能国际,否,7.97,-0.99,9.04,1.03,1.15,6.98,1.79,1251.14,-5260.17,-5.82,电力,"核能核电,光伏概念,风能,央国企改革,一带一路,雄安新区,绿色电力,超超临界发电",,68,B-观察研究,东方财富push2实时行情接口,72.85,Q2-观察研究,60.2,100.0,100.0,18.0,100.0,0.0,,完整
酒鬼酒,000799,SZ,酒鬼酒,否,38.13,0.77,2.31,1.86,0.82,93.35,3.29,123.9,-2158.53,-9.35,白酒Ⅱ,"酿酒概念,央国企改革,白酒",,56,C-低优先级,东方财富push2实时行情接口,72.67,Q2-观察研究,95.4,85.7,57.4,35.0,100.0,0.0,,完整
拓普集团,601689,SH,拓普集团,否,61.51,1.47,0.0,1.04,0.79,38.65,4.5,1068.94,0.0,0.0,,,,71,B-观察研究,东方财富push2实时行情接口,72.32,Q2-观察研究,100.0,64.0,97.3,50.0,100.0,8.0,行情字段不完整,不完整
汉缆股份,002498,SZ,汉缆股份,否,7.46,3.18,0.0,1.33,1.26,43.47,2.86,248.18,0.0,0.0,,,,71,B-观察研究,东方财富push2实时行情接口,71.76,Q2-观察研究,100.0,64.0,93.8,50.0,100.0,8.0,行情字段不完整,不完整
省广集团,002400,SZ,省广集团,否,7.07,1.0,2.1,1.71,0.93,201.28,2.46,123.25,-213.5,-1.02,广告营销,"创投,云计算,大数据,央国企改革,体育产业,区块链,百度概念,数据中心,抖音概念(字节概念),网红经济,快手概念,AIGC概念,小红书概念,AI应用",,70,B-观察研究,东方财富push2实时行情接口,71.76,Q2-观察研究,100.0,81.4,38.0,35.0,100.0,0.0,,完整
中大力德,002896,SZ,中大力德,否,80.01,2.21,6.9,4.43,0.68,355.36,13.05,157.24,-815.01,-1.18,通用设备,"机器人概念,减速器,机器人执行器,人形机器人",,72,B-观察研究,东方财富push2实时行情接口,71.47,Q2-观察研究,100.0,100.0,11.2,35.0,100.0,0.0,,完整
烽火通信,600498,SH,烽火通信,否,66.4,5.18,76.19,9.12,1.42,587.24,5.13,901.82,-7546.3,-0.99,通信设备,"云计算,智慧城市,大数据,网络安全,央国企改革,一带一路,5G概念,国产芯片,IPv6,卫星互联网,湖北自贸,F5G概念,CPO概念,算力概念,数据要素,光通信模块,液冷概念,通信技术,光纤概念",,68,B-观察研究,东方财富push2实时行情接口,69.96,Q2-观察研究,100.0,87.4,38.0,18.0,100.0,0.0,,完整
TCL科技,000100,SZ,TCL科技,否,4.58,0.66,0.0,2.84,1.01,18.83,1.57,952.68,0.0,0.0,,,,62,B-观察研究,东方财富push2实时行情接口,69.86,Q2-观察研究,93.2,64.0,100.0,50.0,100.0,8.0,行情字段不完整,不完整
三花智控,002050,SZ,三花智控,否,45.41,1.34,0.0,1.23,0.74,46.75,5.86,1910.86,0.0,0.0,,,,71,B-观察研究,东方财富push2实时行情接口,69.32,Q2-观察研究,100.0,64.0,91.4,50.0,79.5,8.0,行情字段不完整,不完整
潍柴动力,000338,SZ,潍柴动力,否,28.44,1.57,0.0,1.38,0.94,21.79,2.58,2463.51,0.0,0.0,,,,76,A-优先研究,东方财富push2实时行情接口,68.63,Q2-观察研究,100.0,64.0,100.0,50.0,51.8,8.0,行情字段不完整,不完整
哈药股份,600664,SH,哈药股份,否,3.16,0.0,0.67,0.84,1.23,12.35,1.36,79.58,-407.22,-6.08,化学制药,"中药概念,养老概念,东北振兴,流感,肝炎概念,病原体防治",,54,C-低优先级,东方财富push2实时行情接口,67.51,Q3-低优先级跟踪,80.0,45.8,100.0,35.0,100.0,0.0,,完整
合肥城建,002208,SZ,合肥城建,否,16.04,3.75,6.13,4.75,1.57,-129.39,2.18,128.85,194.24,0.32,房地产开发,"央国企改革,独角兽,装配建筑",亏损PE,78,A-优先研究,东方财富push2实时行情接口,66.68,Q3-低优先级跟踪,100.0,100.0,53.5,70.0,100.0,18.0,亏损PE,完整
飞凯材料,300398,SZ,飞凯材料,否,43.05,7.14,0.0,8.59,1.14,60.74,4.84,244.07,0.0,0.0,,,,55,C-低优先级,东方财富push2实时行情接口,66.1,Q3-低优先级跟踪,96.0,61.8,81.2,50.0,100.0,8.0,行情字段不完整,不完整
木林森,002745,SZ,木林森,否,10.25,9.98,8.41,7.92,3.29,9.08,1.28,152.13,9907.8,11.78,光学光电子,"LED概念,智能家居,PCB,MiniLED,半导体概念,MicroLED,储能概念,植物照明",大幅波动,88,A-优先研究,东方财富push2实时行情接口,64.61,Q3-低优先级跟踪,14.9,100.0,100.0,92.0,100.0,12.0,大幅波动,完整
闽发铝业,002578,SZ,闽发铝业,否,3.68,0.82,0.98,3.02,1.57,81.97,2.29,34.54,-729.03,-7.45,工业金属,"光伏概念,央国企改革,新能源车",,56,C-低优先级,东方财富push2实时行情接口,64.33,Q3-低优先级跟踪,96.4,58.3,65.7,35.0,55.8,0.0,,完整
鹏鼎控股,002938,SZ,鹏鼎控股,否,103.0,1.46,0.0,1.7,1.7,64.3,7.38,2387.06,0.0,0.0,,,,68,B-观察研究,东方财富push2实时行情接口,63.63,Q3-低优先级跟踪,100.0,64.0,73.4,50.0,55.6,8.0,行情字段不完整,不完整
中国巨石,600176,SH,中国巨石,否,45.77,10.0,64.37,3.62,1.73,36.15,5.81,1832.24,97482.27,15.14,玻璃玻纤,"新材料,风能,央国企改革,一带一路,PCB,PEEK材料概念,DeepSeek概念",大幅波动,87,A-优先研究,东方财富push2实时行情接口,62.08,Q3-低优先级跟踪,14.3,97.7,99.2,92.0,83.4,12.0,大幅波动,完整
中国西电,601179,SH,中国西电,否,14.82,10.02,26.61,3.54,3.18,54.79,3.25,759.66,95008.7,35.7,电网设备,"智能电网,西部大开发,水利建设,央国企改革,一带一路,特高压,数据中心,可控核聚变,电网概念",大幅波动,87,A-优先研究,东方财富push2实时行情接口,61.88,Q3-低优先级跟踪,13.7,100.0,85.6,92.0,100.0,12.0,大幅波动,完整
中材科技,002080,SZ,中材科技,否,68.11,10.0,32.87,2.96,2.01,56.31,5.8,1142.97,44988.73,13.68,玻璃玻纤,"军工,新能源,节能环保,新材料,锂电池概念,长江三角,风能,燃料电池概念,央国企改革,一带一路,5G概念,氢能源,PCB,商业航天,电池技术,通信技术",大幅波动,87,A-优先研究,东方财富push2实时行情接口,61.84,Q3-低优先级跟踪,14.3,100.0,84.5,92.0,100.0,12.0,大幅波动,完整
晧科科技,601778,SH,晶科科技,是,4.99,4.39,4.96,2.7,1.3,-36.05,1.13,185.78,4943.4,9.97,电力,"新能源,光伏概念,风能,阿里概念,氢能源,储能概念,绿色电力,算力概念",亏损PE,78,A-优先研究,东方财富push2实时行情接口,61.68,Q3-低优先级跟踪,100.0,100.0,53.5,70.0,100.0,23.0,亏损PE、名称需核验,完整
大为股份,002213,SZ,大为股份,否,38.08,-0.29,5.32,6.76,1.08,144.68,16.39,90.43,-1888.89,-3.55,半导体,"深圳特区,锂电池概念,PCB,国产芯片,胎压监测,新能源车,半导体概念,信创,存储芯片,锂矿概念,电池技术",,58,C-低优先级,东方财富push2实时行情接口,61.53,Q3-低优先级跟踪,74.2,100.0,0.0,35.0,100.0,0.0,,完整
东方钽业,000962,SZ,东方钽业,否,60.01,4.8,0.0,5.19,1.89,123.6,7.91,316.53,0.0,0.0,,,,63,B-观察研究,东方财富push2实时行情接口,60.55,Q3-低优先级跟踪,100.0,64.0,30.7,50.0,100.0,8.0,行情字段不完整,不完整
新能泰山,000720,SZ,新能泰山,否,4.28,3.38,1.75,3.27,1.22,-60.37,2.86,53.78,773.3,4.41,电网设备,"央国企改革,光纤概念",亏损PE,70,B-观察研究,东方财富push2实时行情接口,60.39,Q3-低优先级跟踪,100.0,74.2,53.5,70.0,100.0,18.0,亏损PE,完整
有研新材,600206,SH,有研新材,否,34.26,3.85,0.0,10.91,1.66,101.52,6.8,290.03,0.0,0.0,,,,55,C-低优先级,东方财富push2实时行情接口,60.05,Q3-低优先级跟踪,100.0,53.0,48.4,50.0,100.0,8.0,行情字段不完整,不完整
士兰微,600460,SH,士兰微,否,35.37,10.02,30.05,5.21,2.54,70.46,4.83,588.58,66191.19,22.03,半导体,"LED概念,长江三角,智能穿戴,OLED,国产芯片,氮化镓,半导体概念,第三代半导体,碳化硅,IGBT概念,消费电子概念",大幅波动,87,A-优先研究,东方财富push2实时行情接口,60.05,Q3-低优先级跟踪,13.7,100.0,74.1,92.0,100.0,12.0,大幅波动,完整
西藏矿业,000762,SZ,西藏矿业,否,30.07,-2.05,7.8,4.89,1.72,206.22,5.32,156.61,-3182.71,-4.08,能源金属,"稀缺资源,新材料,锂电池概念,西部大开发,央国企改革,小金属概念,锂矿概念,电池技术",,64,B-观察研究,东方财富push2实时行情接口,60.0,Q3-低优先级跟踪,39.0,100.0,38.0,35.0,100.0,0.0,,完整
铜峰电子,600237,SH,铜峰电子,否,10.68,9.99,4.82,7.38,1.21,68.54,3.45,67.34,5889.55,12.21,元件,"新材料,央国企改革,新能源车,被动元件概念",大幅波动,83,A-优先研究,东方财富push2实时行情接口,59.92,Q3-低优先级跟踪,14.6,100.0,75.5,92.0,100.0,12.0,大幅波动,完整
东方新能,002310,SZ,东方新能,否,2.46,1.65,1.48,1.36,1.28,-266.76,6.16,147.58,1414.84,9.57,电力,"光伏概念,央国企改革,绿色电力",亏损PE,67,B-观察研究,东方财富push2实时行情接口,58.76,Q3-低优先级跟踪,100.0,68.6,52.9,70.0,100.0,18.0,亏损PE,完整
利通电子,603629,SH,利通电子,否,166.25,9.27,45.04,10.7,2.1,40.19,19.43,436.11,35841.51,7.96,消费电子,"军工,云计算,人工智能,OLED,国产芯片,毫米波概念,算力概念,英伟达概念",大幅波动,73,B-观察研究,东方财富push2实时行情接口,58.64,Q3-低优先级跟踪,35.1,89.7,58.2,92.0,100.0,12.0,大幅波动,完整
引力传媒,603598,SH,引力传媒,否,18.96,0.32,1.82,3.52,0.9,123.05,22.76,51.13,-1367.06,-7.53,广告营销,"电商概念,百度概念,抖音概念(字节概念),网红经济,拼多多概念,快手概念,元宇宙概念,虚拟数字人,AIGC概念,小红书概念,DeepSeek概念,AI应用",,50,C-低优先级,东方财富push2实时行情接口,58.46,Q3-低优先级跟踪,86.4,75.6,0.0,35.0,100.0,0.0,,完整
兴森科技,002436,SZ,兴森科技,否,39.55,4.63,0.0,7.12,1.51,465.79,12.72,672.22,0.0,0.0,,,,60,C-低优先级,东方财富push2实时行情接口,57.2,Q3-低优先级跟踪,100.0,64.0,12.5,50.0,100.0,8.0,行情字段不完整,不完整
亨通光电,600487,SH,亨通光电,否,98.68,1.73,0.01,5.85,1.39,75.38,7.51,2433.84,0.0,0.0,,,,68,B-观察研究,东方财富push2实时行情接口,56.86,Q3-低优先级跟踪,100.0,38.2,64.8,50.0,53.3,8.0,行情字段不完整,不完整
华电能源,600726,SH,华电能源,否,8.44,4.33,0.0,2.15,1.17,205.54,13.4,667.38,0.0,0.0,,,,60,C-低优先级,东方财富push2实时行情接口,56.79,Q3-低优先级跟踪,100.0,64.0,9.9,50.0,100.0,8.0,行情字段不完整,不完整
川润股份,002272,SZ,川润股份,否,21.1,0.76,7.27,8.58,1.24,-82.83,7.01,102.31,-4396.18,-6.05,通用设备,"军工,节能环保,智能电网,西部大开发,风能,特高压,储能概念,工程机械概念,超超临界发电,机器人概念,液冷概念",亏损PE,53,C-低优先级,东方财富push2实时行情接口,55.37,Q3-低优先级跟踪,95.2,97.8,49.7,35.0,100.0,18.0,亏损PE,完整
金安国纪,002636,SZ,金安国纪,否,95.9,6.7,0.0,6.0,1.68,145.68,18.75,698.15,0.0,0.0,,,,60,C-低优先级,东方财富push2实时行情接口,55.21,Q3-低优先级跟踪,100.0,64.0,0.0,50.0,100.0,8.0,行情字段不完整,不完整
意华股份,002897,SZ,意华股份,否,86.88,10.0,6.74,4.38,1.01,104.57,6.13,168.44,12138.36,18.02,通信设备,"新能源,光伏概念,5G概念,无人驾驶,独角兽,华为概念,电子烟,新能源车,6G概念,华为汽车,铜缆高速连接,通信技术",大幅波动,75,A-优先研究,东方财富push2实时行情接口,54.45,R-风险剔除,14.3,100.0,48.8,92.0,100.0,12.0,大幅波动,完整
