trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,recommendation_type,holding_period,execution_status,execution_note,min_order_shares,strategy_name,strategy_stage,buy_zone,stop_loss,target_price
2026-06-29,002487,大金重工,57.25,3.06,3.12,0.92,42237000000.0,97.32,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,56.56-57.01,55.25,60.97
2026-06-29,605358,立昂微,78.64,4.34,16.39,1.38,60726000000.0,95.9,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,77.22-78.14,75.1,83.75
2026-06-29,600664,哈药股份,3.08,5.12,2.78,1.36,7757000000.0,93.5,高,B,TRADE,SPECULATIVE_BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,3.00-3.05,2.9,3.28
2026-06-29,002361,神剑股份,14.39,4.65,19.19,1.4,13685000000.0,86.59,高,B,TRADE,SPECULATIVE_BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,14.02-14.26,13.56,15.33
2026-06-29,002124,天邦食品,2.16,3.85,4.33,1.13,4799000000.0,85.03,高,B,TRADE,SPECULATIVE_BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,2.10-2.14,2.03,2.3
2026-06-29,300398,飞凯材料,63.77,4.05,22.88,1.39,36351000000.0,80.52,高,B,TRADE,SPECULATIVE_BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,62.11-63.19,60.07,67.92
2026-06-29,000962,东方钽业,93.96,7.96,9.66,1.07,49560000000.0,77.85,高,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,91.52-93.10,88.51,98.85
2026-06-29,600667,太极实业,28.75,6.96,23.69,1.74,60132000000.0,74.16,高,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,28.00-28.49,27.08,30.25
2026-06-29,600206,有研新材,65.79,8.28,17.68,1.15,55695000000.0,60.98,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,64.08-65.19,61.97,69.21
2026-06-29,603650,彤程新材,93.98,9.5,9.58,1.6,57899000000.0,51.1,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE_CAUTION,距离涨停阈值 0.50 个百分点，只能按小仓排队/回落成交,100,强势回踩/放量突破,ENTRY_SETUP,91.54-93.12,88.53,98.87
2026-06-29,603986,兆易创新,842.02,9.35,7.77,0.99,590887000000.0,41.69,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,820.13-834.36,793.18,885.81
2026-06-29,000056,*ST皇庭,2.17,4.83,3.37,0.66,2566000000.0,39.87,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE_CAUTION,ST 风险警示，涨跌幅通常按 5% 处理；距离涨停阈值 0.17 个百分点，只能按小仓排队/回落成交,100,强势回踩/放量突破,ENTRY_SETUP,2.11-2.15,2.04,2.31
2026-06-29,603194,中力股份,37.83,2.55,2.48,1.45,15169830000.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,37.38-37.67,36.51,40.29
2026-06-29,688135,利扬芯片,40.37,3.51,9.28,1.38,9410406098.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,200,强势回踩/放量突破,ENTRY_SETUP,39.89-40.20,38.96,42.99
2026-06-29,002430,杭氧股份,30.28,4.38,5.05,1.32,29624703525.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,29.92-30.15,29.22,32.25
2026-06-29,300763,锦浪科技,87.34,4.6,5.79,1.31,34766676562.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,86.29-86.97,84.28,93.02
2026-06-29,300049,福瑞医科,38.95,4.87,4.22,1.26,10282453345.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,38.48-38.79,37.59,41.48
2026-06-29,688710,益诺思,67.5,4.34,3.58,1.18,9516124013.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,200,强势回踩/放量突破,ENTRY_SETUP,66.69-67.22,65.14,71.89
2026-06-29,300533,冰川网络,16.65,4.98,6.89,1.17,5465308521.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,16.45-16.58,16.07,17.73
2026-06-29,000810,创维数字,12.6,2.94,3.19,1.16,14492464295.0,97.14,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,12.45-12.55,12.16,13.42
